,DAY_OF_WEEK,DISTANCE_GROUP,AIRLINE_ID,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,DAY_OF_MONTH,MONTH,ORIG_STATE,DEST_STATE,DEP_TIME,OUT_TAXI,IN_TAXI,ELAPSED_TIME,NEW_DIST_GROUP
61,3,10,19805,32575,34100,11.0,1.0,4,36.0,300.0,10.0,5.0,255.0,2450.0
62,5,10,19977,31703,32575,6.0,1.0,29,4.0,1500.0,10.0,15.0,375.0,2450.0
63,4,1,20366,35550,30397,12.0,1.0,8,8.0,1500.0,10.0,15.0,75.0,250.0
64,7,5,19393,31454,31986,29.0,1.0,7,20.0,1500.0,10.0,5.0,165.0,1050.0
65,7,2,20366,32323,30397,8.0,1.0,25,8.0,2100.0,10.0,5.0,75.0,350.0
66,2,2,20304,30140,30466,3.0,1.0,30,3.0,900.0,30.0,5.0,105.0,350.0
67,2,4,20304,30529,30977,24.0,1.0,6,12.0,1500.0,10.0,35.0,195.0,750.0
68,2,3,19790,34492,31295,31.0,1.0,25,20.0,1500.0,10.0,5.0,105.0,550.0
69,2,3,19790,30397,31721,3.0,1.0,8,20.0,2100.0,30.0,5.0,135.0,650.0
70,7,4,19393,34057,32575,15.0,1.0,35,4.0,1500.0,10.0,5.0,105.0,850.0
71,4,2,19790,30397,33044,12.0,1.0,8,15.0,2100.0,10.0,5.0,75.0,350.0
72,7,1,20366,30852,31703,1.0,1.0,44,29.0,1500.0,30.0,5.0,75.0,150.0
73,2,1,19393,30194,33851,10.0,1.0,42,34.0,2100.0,10.0,5.0,45.0,150.0
74,7,7,19790,31650,32457,29.0,1.0,21,4.0,900.0,50.0,25.0,285.0,1550.0
75,3,1,19805,34653,30194,4.0,1.0,34,42.0,900.0,10.0,5.0,75.0,250.0
76,3,3,19393,30436,30325,4.0,1.0,3,5.0,1500.0,10.0,15.0,105.0,650.0
77,3,5,19805,32211,30194,11.0,1.0,31,42.0,2100.0,10.0,5.0,135.0,1050.0
78,2,5,19790,31453,31650,24.0,1.0,42,21.0,900.0,10.0,5.0,165.0,1050.0
79,1,10,20409,32575,31703,9.0,1.0,4,32.0,1500.0,10.0,5.0,285.0,2450.0
80,7,4,20409,31454,31703,29.0,1.0,7,29.0,900.0,10.0,5.0,135.0,950.0
81,2,2,20366,33029,30977,24.0,1.0,27,12.0,900.0,10.0,15.0,105.0,450.0
82,5,3,20304,34614,32457,27.0,1.0,43,4.0,900.0,50.0,5.0,165.0,550.0
83,1,1,19790,30721,31703,2.0,1.0,17,32.0,1500.0,10.0,5.0,75.0,150.0
84,7,1,19790,31295,30792,15.0,1.0,20,32.0,2100.0,30.0,5.0,75.0,250.0
85,1,10,19977,31703,32575,30.0,1.0,29,4.0,900.0,30.0,5.0,345.0,2450.0
86,5,2,19393,30325,30140,13.0,1.0,5,30.0,1500.0,10.0,5.0,75.0,350.0
87,1,2,19393,30466,33570,9.0,1.0,3,4.0,900.0,30.0,5.0,105.0,350.0
88,1,1,19690,32134,33830,30.0,1.0,9,9.0,900.0,10.0,5.0,45.0,50.0
89,5,4,20409,30721,30977,20.0,1.0,17,12.0,1500.0,10.0,15.0,165.0,850.0
90,2,4,19393,30721,30977,24.0,1.0,28,12.0,300.0,50.0,5.0,165.0,850.0
91,5,4,20409,30198,32467,6.0,1.0,36,7.0,900.0,30.0,5.0,195.0,950.0
92,4,3,19805,30466,32457,12.0,1.0,3,4.0,1500.0,10.0,5.0,135.0,650.0
93,6,4,20409,31703,31136,21.0,1.0,32,7.0,900.0,10.0,5.0,135.0,850.0
94,1,3,20409,34614,32575,30.0,1.0,43,4.0,900.0,10.0,5.0,105.0,550.0
95,7,2,20304,34576,31295,8.0,1.0,32,20.0,1500.0,30.0,5.0,75.0,250.0
96,4,1,19690,32982,32134,26.0,1.0,9,9.0,2100.0,10.0,5.0,45.0,150.0
97,1,2,20366,30852,30647,9.0,1.0,44,33.0,900.0,30.0,5.0,75.0,350.0
98,4,11,19977,32134,32575,5.0,1.0,9,4.0,900.0,10.0,25.0,315.0,2550.0
99,1,6,19977,30977,30466,9.0,1.0,12,3.0,1500.0,30.0,5.0,225.0,1450.0
100,6,4,19930,32211,30666,7.0,1.0,31,47.0,900.0,30.0,5.0,165.0,950.0
101,7,9,19977,32211,31703,22.0,1.0,31,29.0,900.0,30.0,35.0,345.0,2250.0
102,5,3,19977,31703,30397,27.0,1.0,29,8.0,900.0,10.0,5.0,135.0,750.0
103,6,2,19790,30994,30397,28.0,1.0,39,8.0,900.0,10.0,5.0,75.0,250.0
104,3,1,19790,30397,30693,25.0,1.0,8,41.0,900.0,10.0,5.0,45.0,250.0
105,2,2,19393,32211,30466,3.0,1.0,31,3.0,1500.0,10.0,5.0,45.0,250.0
106,4,7,19805,32575,33495,5.0,1.0,4,16.0,900.0,10.0,5.0,165.0,1650.0
107,5,4,20304,30977,30189,27.0,1.0,12,5.0,900.0,50.0,15.0,195.0,950.0
108,1,7,19977,31454,30325,2.0,1.0,7,5.0,1500.0,30.0,5.0,285.0,1550.0
109,7,4,20366,30397,31982,1.0,1.0,8,42.0,1500.0,10.0,5.0,135.0,850.0
