,0
0,-0.753208720246
1,-3.55957878507
2,-1.59914663322
3,-7.89659177915
4,-3.29587098107
5,-4.09499173275
6,-6.85257585609
7,-0.753208720246
8,-4.09499173275
9,-8.35851158239
10,-3.29587098107
11,1.48110644606
12,-4.13861490198
13,4.93185100393
14,-10.0571867472
15,-5.29195618795
16,-3.86580475152
17,-0.753208720246
18,-5.66704621476
19,-4.94203182818
20,0.133944148395
21,-0.753208720246
22,5.58722594249
23,11.1039031678
24,-6.11440514804
25,4.56292776838
26,1.79106305919
27,-3.64188062723
28,-5.93848456297
29,3.71930356524
30,1.39499559443
31,-3.22877472393
32,-7.16518205185
33,-3.45668375358
34,2.636094384
35,-3.64188062723
36,-3.24822793706
37,-6.9876403763
38,-8.39360318994
39,-10.0866198186
40,-8.69137145515
41,-9.81506642825
42,1.91003136201
43,-7.98857890925
44,-6.08911152946
45,-4.2027847248
46,-4.47898381734
47,-4.33820827053
48,-5.51346530114
49,-2.64023180526
50,-8.0325109745
51,2.39741824296
52,12.2231984061
53,-4.34576287121
54,-7.67137242234
55,-4.83989416531
56,-3.93202998299
57,8.05611132825
58,-4.91522408955
59,-4.5153194507
60,4.79367039397
61,30.1944341277
62,-4.83989416531
63,-4.76477784087
64,-1.10006848934
65,-3.64188062723
66,-3.91797233269
67,-4.32598091794
68,-6.9876403763
69,-3.29587098107
70,-4.20933011824
71,6.52703524297
72,4.29137093694
73,8.66790050181
74,7.22545036483
75,-3.91797233269
76,-3.22877472393
77,-5.79650264224
78,9.08505235309
79,5.60677855001
80,-7.55008863412
81,-3.49888507649
82,9.32957880097
83,-3.29587098107
84,-6.91907835332
85,-9.81506642825
86,-4.09499173275
87,-5.46516275087
88,-3.84851924299
89,-4.08707053475
90,-4.02348372604
91,-7.09601180661
92,-0.753208720246
93,-3.79067730192
94,30.1944341277
95,4.93185100393
96,-5.28725700692
97,-7.08610056731
98,-1.73269132049
99,-3.1077491508
100,30.1944341277
101,-3.64580875712
102,-6.11440514804
103,-3.91797233269
104,0.133944148395
105,-8.15676508204
106,-5.51346530114
107,-4.90350792493
108,-4.08707053475
109,2.79961878086
110,-2.86143708149
111,15.1700102826
112,11.2985334807
113,-8.80060544834
114,-3.8843079321
115,-8.67564720721
116,2.60033171688
117,-5.05165684252
118,-0.921073871086
119,-3.24822793706
120,-1.59914663322
121,-8.6630643799
122,11.2203991988
123,-1.47500117859
124,-5.79650264224
125,-4.22399793889
126,-3.55957878507
127,12.2231984061
128,-6.4287097649
129,-2.36735754411
130,7.44424733554
131,-2.17534533978
132,-4.95902366859
133,-5.63641726892
134,1.96440198329
135,-4.52390046336
136,-3.30633495215
137,-4.22399793889
138,-7.33289951594
139,-10.155125619
140,6.30802316114
141,-2.86143708149
142,-0.753208720246
143,2.33661127618
144,1.47221228815
145,-3.55957878507
146,-3.91797233269
147,-4.13861490198
148,12.9120381027
149,-4.91522408955
150,-3.08179514348
151,-0.753208720246
152,-4.09499173275
153,-8.52411121416
154,-3.91797233269
155,-2.99935241371
156,-5.51346530114
157,-3.64188062723
158,-4.09499173275
159,-3.97139848003
160,-4.09499173275
161,-8.45438275037
162,-5.25426858207
163,-4.06235053779
164,-3.73509632272
165,-3.73509632272
166,4.18242219182
167,7.93630363617
168,1.1379668224
169,-4.32598091794
170,-3.34738088952
171,-5.89917926673
172,-3.41951793944
173,-4.08707053475
174,6.09123385494
175,-9.05659126803
176,30.1944341277
177,0.133944148395
178,-4.20933011824
179,-6.4287097649
180,6.48349420405
181,2.69893368679
182,2.60033171688
183,2.354209786
184,-7.38655542899
185,-3.66666521518
186,-8.69137145515
187,5.89962850066
188,-0.753208720246
189,-8.15676508204
190,-4.94203182818
191,-8.63932121247
192,-3.73509632272
193,-1.11739282703
194,1.93967618208
195,-4.20933011824
196,-0.760785984289
197,-3.3225777459
198,-7.87961049073
199,-5.61001797939
200,15.1700102826
201,-8.6975403479
202,-8.7434904693
203,-2.39140305286
204,-6.98063019366
205,30.1944341277
206,2.60091071898
207,6.65302623459
208,2.30684783733
209,-7.40556107746
210,-3.19183135533
